match_id,date,city,venue,team1,team2,toss_winner,toss_decision,winner,result,season,has_impact_player_rule,bat_first_team,bat_second_team,death_runs_inn1,mid_runs_inn1,pp_runs_inn1,death_runs_inn2,mid_runs_inn2,pp_runs_inn2,total_runs_inn1,total_balls_inn1,fours_inn1,sixes_inn1,dots_inn1,wickets_inn1,dot_pct_inn1,boundary_pct_inn1,run_rate_inn1,total_runs_inn2,total_balls_inn2,fours_inn2,sixes_inn2,dots_inn2,wickets_inn2,dot_pct_inn2,boundary_pct_inn2,run_rate_inn2,total_sixes,is_200_plus_inn1,balls_per_boundary_inn1,balls_per_wicket_inn1,team1_form_runs_scored,team1_form_runs_conceded,team1_form_win_rate,team2_form_runs_scored,team2_form_runs_conceded,team2_form_win_rate,team1_h2h_win_rate,team1_h2h_matches,venue_avg_score,venue_toss_win_rate,venue_home_team,team1_is_home,team2_is_home,pp_wickets_inn1,pp_run_rate_inn1,team1_season_win_rate,team2_season_win_rate,team1_venue_avg,team2_bowling_strength,team1_bowling_strength,team1_sr_vs_spin,team1_sr_vs_pace
335982,2008-04-18,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,normal,2008,False,Kolkata Knight Riders,Royal Challengers Bengaluru,64.0,97.0,61.0,0.0,56.0,26.0,222,124,15,14,36,3,29.03,23.39,10.74,82.0,101.0,3.0,3.0,50.0,10.0,49.5,5.94,4.87,17.0,True,4.28,41.33,,,,,,,,0.0,,,Royal Challengers Bengaluru,0,1,1,10.17,,,,,,119.35,125.51
335983,2008-04-19,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,normal,2008,False,Chennai Super Kings,Punjab Kings,71.0,116.0,53.0,31.0,113.0,63.0,240,124,20,16,34,5,27.42,29.03,11.61,207.0,124.0,18.0,9.0,23.0,4.0,18.55,21.77,10.02,25.0,True,3.44,24.8,,,,,,,,0.0,,,Punjab Kings,0,1,1,8.83,,,,,,116.51,127.69
335984,2008-04-19,Delhi,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,normal,2008,False,Rajasthan Royals,Delhi Capitals,23.0,66.0,40.0,0.0,77.0,55.0,129,122,14,3,54,8,44.26,13.93,6.34,132.0,97.0,18.0,1.0,31.0,1.0,31.96,19.59,8.16,4.0,False,7.18,15.25,,,,,,,,0.0,,,Delhi Capitals,0,1,2,6.67,,,,,,118.95,127.13
335986,2008-04-20,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,normal,2008,False,Sunrisers Hyderabad,Kolkata Knight Riders,28.0,43.0,39.0,25.0,61.0,26.0,110,118,6,6,62,10,52.54,10.17,5.59,112.0,122.0,5.0,4.0,61.0,5.0,50.0,7.38,5.51,10.0,False,9.83,11.8,,,,222.0,82.0,1.0,,0.0,,,Kolkata Knight Riders,0,1,2,6.5,,1.0,,4.1,,121.98,125.56
335985,2008-04-20,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,normal,2008,False,Mumbai Indians,Royal Challengers Bengaluru,47.0,71.0,47.0,40.0,86.0,40.0,165,123,18,5,45,7,36.59,18.7,8.05,166.0,123.0,15.0,6.0,36.0,5.0,29.27,17.07,8.1,11.0,False,5.35,17.57,,,,82.0,222.0,0.0,,0.0,,,Mumbai Indians,1,0,3,7.83,,0.0,,11.1,,121.91,128.25
335987,2008-04-21,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,normal,2008,False,Punjab Kings,Rajasthan Royals,38.0,74.0,54.0,16.0,99.0,53.0,166,122,18,7,54,8,44.26,20.49,8.16,168.0,119.0,17.0,7.0,47.0,4.0,39.5,20.17,8.47,14.0,False,4.88,15.25,207.0,240.0,0.0,129.0,132.0,0.0,,0.0,,,Rajasthan Royals,0,1,1,9.0,0.0,0.0,,6.6,12.0,120.5,132.07
335988,2008-04-22,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,normal,2008,False,Sunrisers Hyderabad,Delhi Capitals,60.0,57.0,25.0,0.0,95.0,48.0,142,122,12,6,56,8,45.9,14.75,6.98,143.0,83.0,15.0,6.0,26.0,1.0,31.33,25.3,10.34,12.0,False,6.78,15.25,110.0,112.0,0.0,132.0,129.0,1.0,,0.0,,,Sunrisers Hyderabad,1,0,2,4.17,0.0,1.0,,6.45,5.6,121.98,125.56
335989,2008-04-23,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,normal,2008,False,Chennai Super Kings,Mumbai Indians,50.0,105.0,53.0,55.0,95.0,52.0,208,127,24,6,37,5,29.13,23.62,9.83,202.0,128.0,19.0,8.0,38.0,7.0,29.69,21.09,9.47,14.0,True,4.23,25.4,240.0,207.0,1.0,165.0,166.0,0.0,,0.0,,,Chennai Super Kings,1,0,2,8.83,1.0,0.0,,8.3,10.35,116.51,127.69
335990,2008-04-24,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,normal,2008,False,Sunrisers Hyderabad,Rajasthan Royals,54.0,102.0,58.0,41.0,103.0,73.0,214,126,24,9,37,5,29.37,26.19,10.19,217.0,122.0,18.0,14.0,34.0,7.0,27.87,26.23,10.67,23.0,True,3.82,25.2,126.0,127.5,0.0,148.5,149.0,0.5,,0.0,,,Sunrisers Hyderabad,1,0,2,9.67,0.0,0.5,,7.45,6.38,121.98,125.56
335991,2008-04-25,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,normal,2008,False,Punjab Kings,Mumbai Indians,36.0,86.0,60.0,11.0,66.0,39.0,182,124,18,5,40,10,32.26,18.55,8.81,116.0,126.0,12.0,4.0,69.0,9.0,54.76,12.7,5.52,9.0,False,5.39,12.4,186.5,204.0,0.0,183.5,187.0,0.0,,0.0,,,Punjab Kings,1,0,1,10.0,0.0,0.0,,9.35,10.2,120.5,132.07
