venue,matches,toss_win_pct
SuperSport Park,12,66.7
Ekana Cricket Stadium,27,66.7
Maharashtra Cricket Association Stadium,22,63.6
Kingsmead,15,60.0
Brabourne Stadium,10,60.0
Sharjah Cricket Stadium,28,57.1
Subrata Roy Sahara Stadium,16,56.2
Sawai Mansingh Stadium,68,55.9
"Dr DY Patil Sports Academy, Mumbai",20,55.0
M Chinnaswamy Stadium,100,55.0
Dr DY Patil Sports Academy,17,52.9
Wankhede Stadium,131,51.9
Sheikh Zayed Stadium,27,51.9
Arun Jaitley Stadium,101,51.5
MA Chidambaram Stadium,96,51.0
Eden Gardens,105,50.5
"Punjab Cricket Association Stadium, Mohali",78,50.0
"Brabourne Stadium, Mumbai",17,47.1
"Narendra Modi Stadium, Ahmedabad",52,46.2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,46.2
Dubai International Cricket Stadium,43,41.9
"Maharashtra Cricket Association Stadium, Pune",13,38.5
Rajiv Gandhi International Stadium,88,37.5
